SentimentValue,SerialNumber,Tweet,,,,
0,1,@USAirways now you just hang up on me. I’m starting to think this is personal!,,,,
2,2,@SouthwestAir Can my wife's RR points be transferred to my RR account?,,,,
2,3,"@USAirways hi guys, do you have a general enquires email address please? Thanks David.",,,,
2,4,@JetBlue no. come on.,,,,
0,5,@JetBlue #489. Flight #589 is departing before we even board,,,,
4,6,"@JetBlue great trip today!  Thanks to the crew flying us home, they were fantastic! http://t.co/sk6W9XQaQB",,,,
2,7,"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?",,,,
2,8,@AmericanAir need help changing a flight. Please dm,,,,
2,9,YASSSSS. Da Fuccc- RT @JetBlue: Our fleet's on fleek. http://t.co/oAJ5mnuchA,,,,
2,10,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,,,
0,11,@JetBlue My wife was with our dog.  They wouldn't even let her out off the plane.  My daughter was at Newburgh lives close by. So wrong,,,,
2,12,@AmericanAir well I'm flying @JetBlue instead - for free! Their credits actually work.,,,,
0,13,@USAirways your mobile app is horrible!  Needs a major overhaul,,,,
2,14,“@JetBlue: Our fleet's on fleek. http://t.co/XX5QSCjlL1” @BrandsSayingBae #Freberg15,,,,
2,15,@united Twitter isn't letting me DM you..,,,,
4,16,YOU ARE THE BEST AIRWAYS! Follow me please!!!!!,,,,
0,17,@USAirways Cancelled Flightled my flight then put me on a flight the next day.I need help from somebody other than a robot. PLEASE!!! Much appreciated,,,,
2,18,um wut “@JetBlue: Our fleet's on fleek. http://t.co/M4UWcPxtXJ”,,,,
2,19,HA! “@JetBlue: Our fleet's on fleek. http://t.co/zQuTUS7epW”,,,,
2,20,"@AmericanAir #AmericanView
The view of Oregon from seat 31F, flight AA1469 2/22/15 http://t.co/t9JBN9WZtq",,,,
4,21,@united Sivi Stewart at Lax was fantastic tonight helping to find a lost item for us at the airport.  Much thanks!,,,,
2,22,@AmericanAir No snow in St. Louis. Cold but no snow. Hub flights welcome.,,,,
0,23,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.,,,,
0,24,"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip.",,,,
2,25,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,,,
2,26,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,,,
