SentimentValue,SerialNumber,Tweet,,,,,,
0,1,our duck and chicken are taking wayyy too long to hatch ,,,,,,
0,2,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",,,,,,
0,3,I need a hug ,,,,,,
0,4,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",,,,,,
4,5,I LOVE @Health4UandPets u guys r the best!! ,,,,,,
4,6,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,,,,,,
4,7,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",,,,,,
4,8,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",,,,,,
0,9,@oanhLove I hate when that happens... ,,,,,,
0,10,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",,,,,,
4,11,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,,,,,,
4,12,@r_keith_hill Thans for your response. Ihad already find this answer ,,,,,,
4,13,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",,,,,,
4,14,"@tommcfly ah, congrats mr fletcher for finally joining twitter ",,,,,,
4,15,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,,,,,,
0,16,Ugh....92 degrees tomorrow ,,,,,,
0,17,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,,,,,,
4,18,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,,,,,,
4,19,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,,,,,,
4,20,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",,,,,,
0,21,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",,,,,,
4,22,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",,,,,,
4,23,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt,LOL&gt,So I don't miss it   Better get permission and blessing first?,,,,
4,24,Just added tweetie to my new iPhone ,,,,,,
4,25,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),,,,,,
0,26,just leaving the parking lot of work! ,,,,,,
4,27,@nicolerichie: your picture is very sweet ,,,,,,
4,28,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ",,,,,,
4,29,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! ",,,,,,
4,30,Didn't place in the Peeps contest but thanks for voting anyways. ,,,,,,
4,31,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,,,,,,
4,32,@LittleLumen walking over to put the deposit down tomorrow ,,,,,,
4,33,"is now followinq @DAChesterFrench , you shud do tha same ",,,,,,
4,34,@LordPov Are you meant to add on the back of that &quot,twittering from a toilet cubicle somewhere&quot,? ,,,,
4,35,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,,,,,,
4,36,@iJohn kitteh is sleepin on my crotch which proves she likes me more ,,,,,,
4,37,@DramaBeats agreed ,,,,,,
4,38,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,,,,,,
0,39,The Life is cool. But not for Me. ,,,,,,
4,40,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,,,,,,
4,41,happy to spend time with the family. ,,,,,,
4,42,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,,,,,,
4,43,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,,,,,,
4,44,@deon upload di indowebster dong banggggg ,,,,,,
0,45,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",,,,,,
4,46,@wisdomous you're welcome. glad you enjoyed it. ,,,,,,
